<Halten, isCapitalOf, Switzerland>
<Etziken, isCapitalOf, Switzerland>
<Galaţi, isCapitalOf, Romania>
<Apeldoorn, isCapitalOf, Netherlands>
<Lemgo, isCapitalOf, Lip>
<N'Djamena, isCapitalOf, Chad>
<Kuala Lumpur, isCapitalOf, Malaysia>
<Majuro, isCapitalOf, Marshall Islands>
<Krakow, isCapitalOf, Poland>
<Kinshasa, isCapitalOf, Democratic Republic of the Congo>
<Menziken, isCapitalOf, Aargau>
<Gangtok, isCapitalOf, Indian>
<Praia, isCapitalOf, Cape Verde>
<Buchberg, isCapitalOf, Schaffhausen>
<Schwaderloch, isCapitalOf, Aargau>
<Pun, isCapitalOf, Pakistan>
<Nuuk, isCapitalOf, Greenland>
<Beijing, isCapitalOf, China>
<Berlin, isCapitalOf, United States>
<Mandi Bahauddin, isCapitalOf, Mandi Bahauddin District>
<Ratodero, isCapitalOf, Ratodero Taluka>
<Kestenholz, isCapitalOf, Switzerland>
<Bodio, isCapitalOf, Ticino>
<Prato, isCapitalOf, Ticino>
<Bosco Gurin, isCapitalOf, Ticino>
<Chin, isCapitalOf, Pun>
<Tegerfelden, isCapitalOf, Aargau>
<Sisseln, isCapitalOf, Aargau>
<Wall, isCapitalOf, Aargau>
<Campo Grande, isCapitalOf, Mato Grosso do Sul>
<Province, isCapitalOf, Hangu District>
<Mariehamm, isCapitalOf, Island>
<Lusaka, isCapitalOf, Zambia>
<Unterkulm, isCapitalOf, Aargau>
<Colorado, isCapitalOf, United States>
<Hemmental, isCapitalOf, Schaffhausen>
<Pollegio, isCapitalOf, Ticino>
<Cartagena, isCapitalOf, Region>
<Saint, isCapitalOf, Saint>
<Böttstein, isCapitalOf, Aargau>
<Buochs, isCapitalOf, Nidwalden>
<Month, isCapitalOf, Valais>
<Kingdom, isCapitalOf, China>
<Stepanakert, isCapitalOf, Nagorno-Karabakh>
<Teufenthal, isCapitalOf, Aargau>
<Foggia, isCapitalOf, Apulia>
<Leh, isCapitalOf, Himalaya>
<Fox, isCapitalOf, Japan>
<Delémont, isCapitalOf, Switzerland>
<Port Louis, isCapitalOf, Mauritius>
<Bärschwil, isCapitalOf, Switzerland>
<Les Bois, isCapitalOf, Switzerland>
<Etzgen, isCapitalOf, Aargau>
<Mir, isCapitalOf, France>
<Magden, isCapitalOf, Aargau>
<Epauvillers, isCapitalOf, Switzerland>
<Bangalore, isCapitalOf, Karnataka>
<Peninsula, isCapitalOf, Cuba>
<Gerlafingen, isCapitalOf, Switzerland>
<Schönholzerswilen, isCapitalOf, Thurgau>
<Târgovişte, isCapitalOf, County>
<Denpasar, isCapitalOf, Bali>
<Cienfuegos, isCapitalOf, Cienfuegos province>
<Bonn, isCapitalOf, West>
<Büttenhardt, isCapitalOf, Schaffhausen>
<Cerentino, isCapitalOf, Ticino>
<Atum, isCapitalOf, Egypt>
<Sobrio, isCapitalOf, Ticino>
<City, isCapitalOf, Samos>
<Marseille, isCapitalOf, France>
<Pier, isCapitalOf, South Dakota>
<Matzendorf, isCapitalOf, Switzerland>
<Mannheim, isCapitalOf, Germany>
<Catania, isCapitalOf, Sicily>
<This, isCapitalOf, Indonesia>
<Aedermannsdorf, isCapitalOf, Switzerland>
<Province, isCapitalOf, Karak District>
<Dallenwil, isCapitalOf, Nidwalden>
<John, isCapitalOf, Antigua and Barbuda>
<Rümikon, isCapitalOf, Aargau>
<Remscheid, isCapitalOf, German>
<Province, isCapitalOf, Batagram District>
<Augsburg, isCapitalOf, South>
<Sierre, isCapitalOf, Sierre>
<Akkad, isCapitalOf, Iraq>
<Bratislava, isCapitalOf, Slovakia>
<Neuheim, isCapitalOf, Zug>
<Grenchen, isCapitalOf, Switzerland>
<Pakistan, isCapitalOf, Layyah District>
<Canopic jar, isCapitalOf, Egypt>
<Spring, isCapitalOf, Northern Territory>
<Pun, isCapitalOf, Chakwal District>
<Province, isCapitalOf, Haripur District>
<Mellikon, isCapitalOf, Aargau>
<Muriaux, isCapitalOf, Switzerland>
<Tskhinvali, isCapitalOf, South Ossetia>
<Khartoum, isCapitalOf, Sudan>
<Aeschlen bei Oberdiessbach, isCapitalOf, Switzerland>
<Andorra la Vella, isCapitalOf, Andorra>
<Jyväskylä, isCapitalOf, Fin>
<Royan, isCapitalOf, France>
<Licchavi, isCapitalOf, Bihar>
<Offenbach, isCapitalOf, German>
<Sapporo, isCapitalOf, Hokkaido>
<Leutwil, isCapitalOf, Aargau>
<Larissa, isCapitalOf, Greece>
<Kiel, isCapitalOf, Germany>
<Leuk, isCapitalOf, Valais>
<Province, isCapitalOf, Lakki Marwat District>
<Worcester, isCapitalOf, West>
<Sembrancher, isCapitalOf, Valais>
<Sargodha, isCapitalOf, Sargodha District>
<Goumois, isCapitalOf, Switzerland>
<Rice, isCapitalOf, China>
<Niedergösgen, isCapitalOf, Switzerland>
<Paris, isCapitalOf, France>
<War of 1812, isCapitalOf, Ham>
<Meroë, isCapitalOf, Kingdom>
<Province, isCapitalOf, Mansehra District>
<Texas, isCapitalOf, United States>
<Thalwil, isCapitalOf, Switzerland>
<Conthey, isCapitalOf, Valais>
<Guwahati, isCapitalOf, India>
<Lomé, isCapitalOf, Togo>
<Italy, isCapitalOf, Province of Ascoli Piceno>
<Wuppenau, isCapitalOf, Thurgau>
<San Miguel de Tucumán, isCapitalOf, Tucumán Province>
<Hemishofen, isCapitalOf, Schaffhausen>
<Dazaifu, isCapitalOf, Japan>
<Reykjavík, isCapitalOf, Iceland>
<Shakargarh, isCapitalOf, Shakargarh Tehsil>
<Nuku'alofa, isCapitalOf, Tonga>
<Mairengo, isCapitalOf, Ticino>
<Livadeia, isCapitalOf, Catalonia>
<Iaşi, isCapitalOf, Romania>
<Algiers, isCapitalOf, Algeria>
<Riedholz, isCapitalOf, Switzerland>
<Antwerp, isCapitalOf, Belgium>
<Addis Ababa, isCapitalOf, Ethiopia>
<Calpiogna, isCapitalOf, Ticino>
<Aetingen, isCapitalOf, Switzerland>
<Zeihen, isCapitalOf, Aargau>
<Auckland, isCapitalOf, New Zealand>
<Mons, isCapitalOf, Belgium>
<Copenhagen, isCapitalOf, Denmark>
<Haarlem, isCapitalOf, Netherlands>
<Valletta, isCapitalOf, Malta>
<Chester, isCapitalOf, England>
<Scotland, isCapitalOf, Great Britain>
<Enschede, isCapitalOf, Netherlands>
<Emmetten, isCapitalOf, Nidwalden>
<Rekingen, isCapitalOf, Aargau>
<Zufikon, isCapitalOf, Aargau>
<Worm, isCapitalOf, Germany>
<Dili, isCapitalOf, East Timor>
<Naters, isCapitalOf, Valais>
<Rabat, isCapitalOf, Morocco>
<Month, isCapitalOf, Month>
<Ireland, isCapitalOf, Ireland>
<Rimini, isCapitalOf, Emilia-Romagna>
<Spa, isCapitalOf, San Antonio, Texas>
<Tlaxcala de Xicoténcatl, isCapitalOf, Tlaxcala>
<Zwischbergen, isCapitalOf, Valais>
<Bastia, isCapitalOf, Corsica>
<Dresden, isCapitalOf, Free>
<Herznach, isCapitalOf, Aargau>
<Moers, isCapitalOf, German>
<Cambridge, isCapitalOf, U.S. state>
<Bristol, isCapitalOf, United Kingdom>
<Villmergen, isCapitalOf, Aargau>
<Bad Zurzach, isCapitalOf, Aargau>
<Gene, isCapitalOf, Switzerland>
<Affeltrangen, isCapitalOf, Thurgau>
<Krefeld, isCapitalOf, German>
<Islisberg, isCapitalOf, Aargau>
<Gempen, isCapitalOf, Switzerland>
<Emperor, isCapitalOf, Germany>
<Tübingen, isCapitalOf, German>
<Nunningen, isCapitalOf, Switzerland>
<Kayseri, isCapitalOf, Turkey>
<American, isCapitalOf, Triple H>
<Sarajevo, isCapitalOf, Bosnia and Herzegovina>
<Papuan languages, isCapitalOf, New Guinea>
<Büsserach, isCapitalOf, Switzerland>
<Les Breuleux, isCapitalOf, Switzerland>
<Baden, isCapitalOf, Aargau>
<Kilkenny, isCapitalOf, Ireland>
<Rouen, isCapitalOf, France>
<Civilization, isCapitalOf, Pakistan>
<Fisibach, isCapitalOf, Aargau>
<Wilen, isCapitalOf, Thurgau>
<Nenzingen, isCapitalOf, Konstanz>
<Giornico, isCapitalOf, Ticino>
<Flumenthal, isCapitalOf, Switzerland>
<City, isCapitalOf, Luxembourg>
